user_id,company_id,user_role,user_profile
USER-0248,COMP-037,admin,"{'age': 57, 'bachelors_field': 'no degree', 'birth_date': '1968-05-16', 'city': 'Lawndale', 'country': 'USA', 'county': 'Los Angeles County', 'education_level': '9th_12th_no_diploma', 'email_address': 'lopezw68@icloud.com', 'ethnic_background': 'mexican', 'first_name': 'William', 'last_name': 'Lopez', 'locale': 'en_US', 'marital_status': 'married_present', 'middle_name': '', 'occupation': 'manager', 'phone_number': '310-908-6374', 'sex': 'Male', 'ssn': '548-18-7533', 'state': 'CA', 'street_name': 'E Verdugo Ave H', 'street_number': 84, 'unit': '', 'uuid': '1860b1e1-a858-481a-a25a-8d9052f5019e', 'zipcode': '90260'}"
USER-0169,COMP-003,admin,"{'age': 32, 'bachelors_field': 'business', 'birth_date': '1993-04-02', 'city': 'Sedro Woolley', 'country': 'USA', 'county': 'Whatcom County', 'education_level': 'bachelors', 'email_address': 'dan.johnson1993@gmail.com', 'ethnic_background': 'white', 'first_name': 'Dan', 'last_name': 'Johnson', 'locale': 'en_US', 'marital_status': 'never_married', 'middle_name': 'Wade', 'occupation': 'driver_sales_worker_or_truck_driver', 'phone_number': '360-241-9994', 'sex': 'Male', 'ssn': '539-21-0114', 'state': 'WA', 'street_name': 'W Youngstown Ln', 'street_number': 210, 'unit': '', 'uuid': 'b7a82295-5ec9-4ba6-af88-a1d549280a2e', 'zipcode': '98284'}"
USER-0296,COMP-040,viewer,"{'age': 34, 'bachelors_field': 'no degree', 'birth_date': '1991-04-05', 'city': 'Santa Maria', 'country': 'USA', 'county': 'Santa Barbara County', 'education_level': '9th_12th_no_diploma', 'email_address': 'krysten.santiagocruz71@icloud.com', 'ethnic_background': 'mexican', 'first_name': 'Krysten', 'last_name': 'Santiagocruz', 'locale': 'en_US', 'marital_status': 'married_present', 'middle_name': 'Elizabeth', 'occupation': 'grader_or_sorter_agricultural_product', 'phone_number': '820-978-7936', 'sex': 'Female', 'ssn': '550-46-6504', 'state': 'CA', 'street_name': 'Devonshire Drive', 'street_number': 206, 'unit': '', 'uuid': '7785bcab-ba99-4d02-bd81-d9f91b9103d4', 'zipcode': '93458'}"
USER-0342,COMP-005,viewer,"{'age': 42, 'bachelors_field': 'education', 'birth_date': '1982-12-08', 'city': 'Republic', 'country': 'USA', 'county': 'Christian County', 'education_level': 'graduate', 'email_address': 'alice.blackwell78@icloud.com', 'ethnic_background': 'white', 'first_name': 'Alice', 'last_name': 'Blackwell', 'locale': 'en_US', 'marital_status': 'divorced', 'middle_name': 'Kathleen', 'occupation': 'manager', 'phone_number': '417-468-6922', 'sex': 'Female', 'ssn': '499-57-9252', 'state': 'MO', 'street_name': 'SE Victory Dr', 'street_number': 35, 'unit': '', 'uuid': 'b2153e2c-9bd9-4786-a4e5-c0466c4a152c', 'zipcode': '65738'}"
USER-0166,COMP-032,individual_contributor,"{'age': 31, 'bachelors_field': 'no degree', 'birth_date': '1994-03-20', 'city': 'Medford', 'country': 'USA', 'county': 'Jackson County', 'education_level': '9th_12th_no_diploma', 'email_address': 'padillac@yahoo.com', 'ethnic_background': 'mexican', 'first_name': 'Chayanne', 'last_name': 'Padilla', 'locale': 'en_US', 'marital_status': 'never_married', 'middle_name': 'F', 'occupation': 'social_or_community_service_manager', 'phone_number': '530-943-9166', 'sex': 'Female', 'ssn': '544-58-9582', 'state': 'OR', 'street_name': '21st Ave', 'street_number': 206, 'unit': '', 'uuid': '1e1af751-1b8c-4979-a1ed-c5e3575ab8fb', 'zipcode': '97501'}"
USER-0293,COMP-008,admin,"{'age': 35, 'bachelors_field': 'no degree', 'birth_date': '1990-05-02', 'city': 'Renton', 'country': 'USA', 'county': 'King County', 'education_level': 'high_school', 'email_address': 'madhupatel2@icloud.com', 'ethnic_background': 'south asian', 'first_name': 'Madhu', 'last_name': 'Patel', 'locale': 'en_US', 'marital_status': 'married_present', 'middle_name': '', 'occupation': 'first_line_supervisor_of_office_or_administrative_support_worker', 'phone_number': '253-943-7676', 'sex': 'Female', 'ssn': '539-65-0481', 'state': 'WA', 'street_name': '60th Ave SE', 'street_number': 151, 'unit': '', 'uuid': '14d8316e-e226-435e-8595-bc5b6213f914', 'zipcode': '98058'}"
USER-0749,COMP-006,admin,"{'age': 64, 'bachelors_field': 'no degree', 'birth_date': '1961-01-01', 'city': 'West Valley City', 'country': 'USA', 'county': 'Salt Lake County', 'education_level': 'associates', 'email_address': 'carlosmconcepcion61@hotmail.com', 'ethnic_background': 'mexican', 'first_name': 'Carlos', 'last_name': 'Concepcion', 'locale': 'en_US', 'marital_status': 'married_present', 'middle_name': 'Marcos', 'occupation': 'cook', 'phone_number': '716-689-2024', 'sex': 'Male', 'ssn': '529-99-9167', 'state': 'UT', 'street_name': 'N Osceola St', 'street_number': 8, 'unit': '', 'uuid': '3fa420f8-e187-4331-bc56-ce3c4389d5e2', 'zipcode': '84120'}"
USER-0893,COMP-002,individual_contributor,"{'age': 58, 'bachelors_field': 'no degree', 'birth_date': '1967-08-21', 'city': 'Buffalo', 'country': 'USA', 'county': 'Erie County', 'education_level': '9th_12th_no_diploma', 'email_address': 'yolanda.hoefer21@hotmail.com', 'ethnic_background': 'black', 'first_name': 'Yolanda', 'last_name': 'Hoefer', 'locale': 'en_US', 'marital_status': 'married_present', 'middle_name': 'Melissa', 'occupation': 'receptionist_or_information_clerk', 'phone_number': '716-938-1682', 'sex': 'Female', 'ssn': '083-50-6074', 'state': 'NY', 'street_name': '64 St', 'street_number': 112, 'unit': '', 'uuid': '0db63154-9cf3-4f2c-9f33-3f2622dc9151', 'zipcode': '14206'}"
USER-0537,COMP-002,individual_contributor,"{'age': 59, 'bachelors_field': 'no degree', 'birth_date': '1966-09-27', 'city': 'Batesville', 'country': 'USA', 'county': 'Independence County', 'education_level': 'some_college', 'email_address': 'herschel.craft@gmail.com', 'ethnic_background': 'white', 'first_name': 'Herschel', 'last_name': 'Craft', 'locale': 'en_US', 'marital_status': 'married_present', 'middle_name': '', 'occupation': 'welding_soldering_or_brazing_worker', 'phone_number': '870-718-9849', 'sex': 'Male', 'ssn': '430-69-1409', 'state': 'AR', 'street_name': 'Dunn Dr', 'street_number': 236, 'unit': '', 'uuid': 'ee9dc647-716e-45d5-8fc3-323d3fa2fe6b', 'zipcode': '72501'}"
USER-0260,COMP-013,individual_contributor,"{'age': 40, 'bachelors_field': 'no degree', 'birth_date': '1985-07-17', 'city': 'Chula Vista', 'country': 'USA', 'county': 'San Diego County', 'education_level': 'some_college', 'email_address': 'davist@gmail.com', 'ethnic_background': 'white', 'first_name': 'Tommy', 'last_name': 'Davis', 'locale': 'en_US', 'marital_status': 'married_present', 'middle_name': 'John', 'occupation': 'laborer_or_freight_stock_or_material_mover', 'phone_number': '619-821-7073', 'sex': 'Male', 'ssn': '573-81-1542', 'state': 'CA', 'street_name': 'Bogert Trl', 'street_number': 638, 'unit': '', 'uuid': '35a345a2-96d8-42bc-9941-398573a8ca0b', 'zipcode': '91911'}"
